"State","Date","Text","Sen_length"
"Louisiana","1974-01-01","Boards, commissions, and political subdivisions and their agencies to comply with federal laws and regulations in order to secure federate participation in funding capital improvement projects.",26
"South Dakota","1889-10-01","Neither the state nor any county, township or municipality shall loan or give its credit or make donations to or in aid of any individual, association or corporation except for the necessary support of the poor, nor subscribe to or become the owner of the capital stock of any association or corporation, nor pay or become responsible for the debt or liability of any individual, association or corporation; Provided, that, the state may assume or pay such debt or liability when incurred in time of war for the defense of the state.",92
"Indiana","1851-11-01","No person shall be a Senator or a Representative, who, at the time of his election, is not a citizen of the United States; nor any one who has not been, for two years next preceding his election, an inhabitant of this State, and for one year next preceding his election, an inhabitant of the county or district whence he may be chosen.",63
"Alabama","1819-12-06","The General Assembly shall fix, by law, the method of dividing the militia into divisions, brigades, regiments, battalions, and companies: and shall fix the rank of all staff officers.",29
"Maryland","1864-09-06","In case of vacancy in said office by death, resignation, or other cause, the governor shall fill such vacancy until the next general election for members of the general assembly thereafter, when a commissioner of the land-office shall be elected for the full term of six years ensuing.",48
"West Virginia","1872-12-01","* Every appropriation bill shall be either a budget bill, or a supplementary appropriation bill, as hereinafter mentioned.",17
"Florida","1968-11-05","Such ad valoremtax relief shall be in the form and amount established by general law.",15
"Alabama","1819-12-06","No person shall, for any indictable offence, be proceeded against criminally, by information; except in cases arising in the land or naval forces, or the militia when in actual service, or by leave of the court for oppression or misdemeanor in office.",42
"South Carolina","1861-04-08","The terms of office of the Senators and Members of the House of Representatives, shall begin on the Monday following a General Election.""",23
"Louisiana","1974-01-01","C 0 [Last Modified: 6/16/2004 6:38:27 PM]  (C) (1) Cash on hand or deposit: (2) stocks and bonds, except bank. stocks, the tax on which shall be paid by the banking institution; (3) obligations secured by mortgage on property located in Louisiana and the notes or other evidence thereof; (4) loans by life insurance companies to policyholders, if secured solely by their policies; (5) the legal reserve of domestic life insurance companies; (6) loans by a homestead or building and loan association to its members, if secured solely by stock of the association; (7) debts due for merchandise or other articles of commerce or for services rendered; (8) obligations of the state or its political subdivisions; (9) personal property used in the home or on loan, in a public place; (10) irrevocably dedicated places of burial held by individuals for purposes of burial of themselves or members of their families; (11) agricultural  products while owned by the producer, agricultural machinery and other implements used exclusively for agricultural purposes, animals on the farm, and property belonging to an agricultural fair association; (12) property used for cultural, Mardi Gras carnival, or civic activities and not operated for profit to the owners; (13) rights-of-way granted to the State Department of Highways; (14) boats using gasoline as motor fuel; (15) commercial vessels used for gathering seafood for human consumption; and (16) ships and oceangoing tugs, towboats, and barges engaged in international trade and domiciled in Louisiana ports.",247
"Kansas","1859-10-04","The people have a right to bear arms for their defense and security; but standing armies, in time of peace, are dangerous to liberty, and shall not be tolerated, and the military shall be in strict subordination to the civil power.",41
"South Carolina","1896-01-01","The bonded indebtedness of the district shall not be considered in determining the power to incur bonded indebtedness by any municipality or political subdivision of the county or State covering or partially extending over the territory of such district.",39
"Texas","1876-02-15","A 0 [Last Modified: 7/1/2006 11:59:21 AM]  No Section Text  Amendment 482 [1991]  Sec. 24a.",19
"Illinois","1848-03-05","No elector shall be obliged to do militia duty on the days of election, except in time of war or public danger.",22
"North Dakota","1981-01-01","[Approved June 8, 1982]    Article 8.0 [Last Modified: 5/30/2006 8:56:12 PM]   ARTICLE VIII  EDUCATION    Section 1.0 0 [Last Modified: 5/30/2006 8:56:12 PM]   SECTION 1.",32
"Kentucky","1891-09-28","The General Assembly may, at any time, consolidate the offices of Jailer and Sheriff in any county or counties, as it shall deem most expedient; but in the event such consolidation be made, the office of Sheriff shall be retained, and the Sheriff shall be required to perform the duties of Jailer.",52
"South Carolina","1896-01-01","Amendment 280 [1971]   [This amendment added text to Article 10  Sec. 5 of the Constitution.",15
"New Mexico","1911-01-01","Women may hold the office of notary public and such other appointive offices as may be provided by law.",19
"Michigan","1964-01-01","If any part of this section is held to be invalid or unconstitutional, the remaining parts of this section shall not be affected but will remain in full force and effect.",31
"South Carolina","1868-04-16","The Governor and Lieutenant Governor shall, at stated times, receive for their services a compensation, which shall be neither increased nor diminished during the period for which they shall have been elected.",32
"Minnesota","1857-08-30","Provided, that no county shall receive in any year more than three (3) per cent, or less than one-half (1/2) of one (1) per cent of the total fund thus provided and expended during such year.",37
"Alabama","1901-11-28","Such obligationsor evidences of indebtedness may be issued upon the full faith and credit of the countyor any such municipality or may be limited as to the source of their payment.",31
"North Dakota","1889-08-17","The second district shall consist of the townships of St. Thomas, Hamilton, Cavalier, Akra, Beauleau, Thingvalla, Gardar, Park, Crystal, Elora and Lodema, in the county of Pembina, and be entitled to one senator and two representatives.",36
"California","1849-11-13","He shall communicate to the Legislature, at the beginning of every session, every case of reprieve or pardon granted, stating the name of the convict, the crime of which he was convicted, the sentence, at its date, and the date of the pardon or reprieve.",45
"Kansas","1859-10-04","The State Superintendent of Public Instruction, Secretary of State and Attorney General shall constitute a Board of Commissioners for the management and investment of the school funds.",27
"New York","1938-08-25","The legislature shall prescribe the method by which and the terms and conditions under which the amount of any such indebtedness to be so excluded shall be determined, and no such indebtedness shall be excluded except in accordance with such determination.",41
"Alabama","1901-11-28","The legislature shall further provide a procedure wherebysaid association or organization is bonded, for the examination and auditing of said associationor organization, and for reasonably necessary rules and regulations to be adopted by thestate board of agriculture and industries to effectively carry out the intent and purposes herein enumerated.",49
"Nevada","1864-03-21","The proceeds from the imposition of any license or registration fee and other charge with respect to the operation of any motor vehicle upon any public highway in this state and the proceeds from the imposition of any excise tax on gasoline or other motor vehicle fuel shall, except cost of administration, be used exclusively for the construction, maintenance, and repair of the public highways of this state.",68
"Maryland","1776-11-10","And be it enacted, That the duties and services, now provided by law to be done and performed by the attorney general, shall be done and performed by such persons, and in such manner, as the general assembly of Maryland shall hereafter direct.",43
"Georgia","1865-11-07","D. eighteen hundred and sixty- two, entitled ""An act to settle the conflicts between the Code and the legislation of this General Assembly;"" also, all acts of the General Assembly aforesaid, passed since the date last written, altering, amending, repealing, or adding to any portion of law hereinbefore mentioned (the latter enactment having preference in case of conflict); and also, so much of the common and statute law of England, and of the statute law of this State, of force in Georgia in the year eighteen hundred and sixty, as is not expressly superseded, by, nor inconsistent with said Code, though not embodied therein, except so much of the law aforesaid as may violate the supreme law, herein recognized, or may conflict with this Constitution, and except to so much thereof as refers to persons held in slavery, which excepted laws shall henceforth be inoperative and void and any future General Assembly of this State shall be competent to alter, amend, or repeal any portion of the law declared to be of force in this Third Specification of the fifth Clause of this Fifth Article.",185
"Arkansas","1874-10-13","This is Amendment No. 29 according to the numbering method for constitutional amendments used by the state of Arkansas.]",19
"Michigan","1909-01-01","Every petition shall be certified to as herein provided as having been signed by qualified electors of the State equal in number to eight per cent of the total vote cast for all candidates for Governor at the last preceding general election, at which a Governor was elected.",48
"North Carolina","1776-12-18","That no hereditary emoluments, privileges, or honors ought to be granted or conferred in this State.",16
"Utah","1895-05-08","(4) The Legislature shall have the power to enforce and define this section by statute.",15
"Arizona","1912-02-14","Article 22.0 [Last Modified: 3/25/2005 11:55:51 AM]  No Article Text  Section 1.0 0 [Last Modified: 3/25/2005 11:55:51 AM]  1.",27
"Louisiana","1879-07-23","The General Assembly shall have power to fix the sessions elsewhere during the rest of the year.",17
"Louisiana","1879-07-23","He shall take care that the laws be faithfully executed, and he may, on extraordinary occasions, convene the General Assembly at the seat of government, or, if that should have become dangerous from an enemy or from an epidemic, at a different place.",43
"Utah","1895-05-08","The terms of office at Supreme and District Judges may be extended by law, but such extension shall not affect the term for which any judge was elected.",28
"Pennsylvania","1839-01-01","Prothonotaries and clerks of the several other courts, recorders of deeds and registers of wills, shall, at the times and places of election of representatives, be elected by the qualified electors of each county, or the districts over which the jurisdiction of said courts extends, and shall be commissioned by the governor.",52
"California","1879-05-07","The trustees of said institution must annually report their proceedings and financial accounts to the Governor.",16
"South Carolina","1896-01-01","Provided, that the provisions of Section 7 of Article VIII requiring an election and the provisions of Section 7 of Article VIII and Section 5 of Article X of the Constitution of the State relating to the extent to which indebtedness may be incurred shall not apply to any obligation of the City of Florence to Florence County or to any agency of Florence County resulting from a long-term lease of a portion of a multistoried office building to be erected by Florence County for the purpose of providing courthouse, jail, city hall, office and related facilities for Florence County and for the City of Florence and for other governmental agencies, pursuant to which the full faith and credit of the City of Florence is pledged to the payment of rent and other obligations so incurred shall not be considered in determining the power of the City of Florence to incur other bonded indebtedness, nor shall they affect or limit the power of Florence County or any political subdivision of the County or State covering or extending over any portion of the territory of the City of Florence to incur bonded indebtedness.",192
"Delaware","1897-06-10","Amend Article II, §7 of the Delaware Constitution of 1897,as amended by striking the word ""he"" as found therein and replacing said word with the phrase ""he or she"".",30
"California","1879-05-07","Section 25.6 0 [Last Modified: 6/18/2004 4:46:45 PM]  No Section Text  Amendment 544 [1966]  [NOTE: § 25 5/8 has been coded as Section 25.6.]",28
"Texas","1876-02-15","The governor may, on extraordinary occasions, convene the legislature at the seat of government, or at a different place in case that should be in possession of the public enemy or in case of the prevalence of disease thereat.",39
"North Carolina","1971-07-01","Article X, Section 2(3) of the Constitution of North Carolina is rewritten to read as follows:  Sec.",18
"Oklahoma","1907-07-16","Section 4 of Laws 1993, c. 365 provides: ""It is the intent of the Legislature that Sections 1 through 3 of this act [title 17, §§ 131, 137 and 137.1] are amendments to, and alterations of, Sections 18 through 34, inclusive, of Article IX of the Constitution of the State of Oklahoma, as authorized by Section 35, Article IX of the Constitution of the State of Oklahoma.""",66
"Maryland","1864-09-06","The yeas and nays of members on any questions shall, at the call of any five of them in the house of delegatates, or one in the senate, be entered on the journal.",33
"Colorado","1876-03-14","(2)  The state treasurer shall keep adequate records of all moneys coming into his custody and shall at the end of each quarter of the fiscal year submit a written report to the governor, signed under oath, showing the condition of the state treasury, the amount of money in the several funds, and where such money is kept or deposited.",60
"South Carolina","1896-01-01","Excessive bail shall not be required; nor shall excessive fines be imposed; nor shall cruel, nor corporal, nor unusual punishment be inflicted; nor shall witnesses be unreasonably detained.",28
"California","1879-05-07","No county, city, town, township, board of education, or school district, shall incur any indebtedness or liability in any manner or for any purpose exceeding in any year the income and revenue provided for such year, without the assent of two-thirds of the qualified electors thereof, voting at an election to be held for that purpose, nor unless before or at the time of incurring such indebtedness provision shall be made for the collection of an annual tax sufficient to pay the interest on such indebtedness as it falls due, and also provision to constitute a sinking fund for the payment of the principal thereof, on or before maturity, which shall not exceed 40 years from the time of contracting the same; provided, however, anything to the contrary herein notwithstanding, when two or more propositions for incurring any indebtedness or liability are submitted at the same election, the votes cast for and against each proposition shall be counted separately, and when two-thirds of the qualified electors, voting on any one of such propositions, vote in favor thereof, such proposition shall be deemed adopted.",183
"Maine","1819-12-06","Any population remainder within the municipality shall be included in a district drawn to cross the municipal boundary, provided that such population remainder of the municipality must be contiguous to another municipality or municipalities included in the district.",38
"Maine","1819-12-06","The judicial power of this State shall be vested in a supreme judicial court, and such other courts as the legislature shall, from time to time, establish.",27
"Minnesota","1857-08-30","The judicial power of the State shall be vested in a supreme court, district courts, courts of probate, justices of the peace, and such other courts, inferior to the supreme court, as the legislature may from time to time establish by a two-thirds vote.",44
"Arkansas","1868-02-11","Real estate shall be appraised at least once every five years by an appraiser to be provided for by law, at its true value in money.",26
"South Carolina","1896-01-01","Each house may punish by imprisonment during its sitting any person not a member who shall be guilty of disrespect to the house by any disorderly or contemptuous behavior in its presence, or who, during the time of its sitting, shall threaten harm to the body or estate of any member for anything said or done in either house, or who shall assault any of them therefor, or who shall assault or arrest any witness or other person ordered to attend the house in his going thereto or returning therefrom, or who shall rescue any person arrested by order of the house: Provided, That such time of imprisonment shall not in any case extend beyond the session of the General Assembly.",121
"North Carolina","1776-12-18","The counties of Anson, Beaufort, Bertie, Buncombe, Cumberland, Craven, Caswell, Davidson, Duplin, Edgecombe, Franklin, Johnston, Montgomery, New Hanover, Northampton, Person, Pitt, Randolph, Robeson, Richmond, Rockingham, Sampson Warren, Wayne, and Wilkes shall elect two members each.",35
"Illinois","1970-12-15","TREASURER - DUTIES The Treasurer, in accordance with law, shall be responsible for the safekeeping and investment of monies and securities deposited with him, and for their disbursement upon order of the Comptroller.",32
"Texas","1876-02-15","(1) The legislature may enact general laws establishing systems and programs of retirement and related disability and death benefits for public employees and officers.",24
"South Dakota","1889-10-01","The calculation of the distribution shall be defined by law and may promote growth of the fund and a steadily growing distribution amount.",23
"Alabama","1901-11-28","The Governor may require information in writing, under oath, from the officers of the executive department, named in this article, or created by statute, on any subject relating to the duties of their respective offices; and he may at any time require information in writing, under oath, from all officers and managers of State institutions, upon any subject relating to the condition, management and expenses of their respective offices and institutions.",71
"Alabama","1901-11-28","Section 386.0 0 [Last Modified: 1/1/2003]  No Section Text  Amendment 600 [1996]  AMENDMENT600 RATIFIED 1996 Amendmentof Amendment No.",20
"New York","1846-01-01","All the provisions of this section, in relation to bills not approved by the Governor, shall apply in cases in which he shall withhold his approval from any item or items contained in a bill appropriating money.",37
"Iowa","1857-09-03","The Judges of the Supreme Court shall be ineligible to any other office in the State, during the term for which they have been elected.",25
"West Virginia","1872-12-01","It shall be the duty of the Legislature, at its first session after the adoption of this Constitution, to provide, by law, for the pun­ishment by imprisonment in the penitentiary, of any person who shall bribe or attempt to bribe, any executive or judicial officer of this State, or any member of the Legislature in order to influence him, in the performance of any of his official or public duties; and also to provide by law for the punishment by imprisonment in the penitentiary of any of said officers, or any member of the Legislature, who shall demand, or receive, from any corporation, company or person, any money, testimonial, or other valuable thing, for the per­formance of his official or public duties, or for refusing or failing to perform the same, or for any vote or influence a member of the Legislature may give or withhold as such member, and also to pro­vide by law for compelling any person, so bribing or attempting to bribe, or so demanding or receiving a bribe, fee, reward, or testim­onial, to testify against any person or persons, who may have com­mitted any of said offences; Provided, That any person so compelled to testify, shall be exempted from trial and punishment for the offense of which lie may have been guilty, and concerning which he is com­pelled to testify; and any person convicted of any of the offences specified in this section shall, as a part of the punishment thereof, be forever disqualified from holding any office or position of honor, trust, or profit in this State.",262
"Michigan","1964-01-01","The legislature may by law exclude persons from voting because of mental incompetence or commitment to a jail or penal institution.",21
"Alabama","1901-11-28","Eachmunicipal corporation in this state whose annual ad valorem tax rate is otherwise limited by theConstitution or any amendment thereto less than one and one-fourth per centum (1 1/4 %) of thevalue of the property situated therein as assessed for state taxation during the preceding year shallhave, in addition to the power to levy and collect such ad valorem tax each year at the rate authorizedimmediately prior to the adoption of this amendment, the further power to levy and collecteach year an additional tax or taxes to such extent that the total ad valorem tax rate of suchmunicipal corporation shall not exceed one and one-fourth per centum (1 1/4 %) in any one yearon the property situated therein based on the valuation of such property as assessed for state taxationduring the preceding year; provided, that before any such additional tax may be so levied andcollected a majority of the qualified electors of any such municipal corporation voting at an electioncalled for that purpose shall vote in favor of the levy thereof; provided further, that the totalad valorem tax or taxes to be levied and collected by any such municipal corporation shall notexceed one and one-fourth per centum (1 1/4 %) in any one year; and provided further, that theadoption of this amendment shall in no wise affect, limit, modify, abridge or impair the power,authority or right of any such municipal corporation to levy and collect the special school taxesnow or hereafter vested or conferred upon them, or any of them, under the Constitution or anyamendment thereto, which said special school taxes shall be in excess of said one and one- fourthper centum (1 1/4 %) herein provided for.",279
"Louisiana","1879-07-23","In those districts composed of one parish, there shall not be less than six terms of the district court each year.",21
"South Carolina","1861-04-08","No apportionment of Representatives shall be construed to take effect, in any manner, until the general election which shall succeed such apportionment.",22
"Florida","1968-11-05","No instrument shall be deemed recorded in the county until filed at thecounty seat according to law.",17
"West Virginia","1872-12-01","The Legislature shall establish in each county a magistrate court or courts with the right of appeal as prescribed by law.",21
"South Carolina","1861-04-08","PETER, ALL SAINTS, (including its ancient boundaries,) WINYAW, (not including any part of All Saints,) KINGSTON, (not including any part of All Saints,) WILLIAMSBURG, MARION, MARLBOROUGH, CHESTERFIELD, DARLINGTON, YORK, CHESTER, FAIRFIELD, RICHLAND, LANCASTER, KERSHAW, SUMTER, CLARENDON, ABBEVILLE, EDGEFIELD, NEWBERRY, LAURENS, UNION, SPARTANBURG, (heretofore called Spartan,) GREENVILLE, ANDERSON, PICKENS, ST.",49
"Mississippi","1890-11-01","Every inhabitant of this state, except idiots and insane persons, who is a citizen of the United State of America, eight5een (18) years old and upward, who has been a resident of this state for one (1) year, and for one (1) year in the county n which the he offers to vote, and for six (6) months in the election precinct or in the incorporated city or town in which he offers to vote, and who is duly registered as provided in this article, and who has never been convicted of murder, rape, bribery, theft, arson, obtaining money or goods under false pretense, perjury, forgery, embezzlement or bigamy, is declared to be a qualified elector, except that he shall be qualified to vote for President and Vice President of the United States if he meets the requirements established by Congress therefor and is otherwise a qualified elector.",148
"Texas","1845-08-24","Every law enacted by the legislature shall embrace but one object, and that shall be expressed in the title.",19
"Kansas","1859-10-04","No person under guardianship, non compos mentis, or insane; no person convicted of felony, unless restored to civil rights; no person who has been dishonorably discharged from the service of the United States, or any of the States thereof; no person guilty of receiving a bribe, or offering to give or receive a bribe; and no person who has ever voluntarily borne arms against the Government of the United States, or in any manner voluntarily aided or abetted in the attempted overthrow of said Government, except all persons who have been honorably discharged from the military service of the United States since the first day of April, A.D., 1861, provided that they have served one year or more therein, shall be qualified to vote or hold office in this State, until such disability shall be removed by a law passed by a vote of two-thirds of all the members of both branches of the Legislature.",155
"Florida","1887-01-01","Justices of the supreme court and judges of allother courts shall receive for their services salaries or compensation provided by law.",21
"South Carolina","1865-09-27","No part of this constitution shall be altered, unless a bill to alter the same shall have been read on three several days in the house of representatives, and on three several days in the senate, and agreed to, at the second and third reading, by two-thirds of the whole representation in each house of the general assembly; neither shall any alteration take effect until the bill, so agreed to, shall be published for three months previous to a new election for members of the house of representatives; and the alteration proposed by the preceding general assembly shall be agreed to by the new general assembly, in their first session, by the concurrence of two-thirds of the whole representation in each house, after the same shall have been read on three several days in each; then and not otherwise the same shall become a part of the constitution.",148
"Ohio","1851-09-01","Such successor shall be elected for the unexpired term of the vacant office at the first general election in an even numbered year that occurs more than forty days after the vacancy has occurred; provided, that when the unexpired term ends within one year immediately following the date of such general election.",52
"Alabama","1819-12-06","The State, and the individual stockholders, shall be liable, respectively, for the debts of the bank, in proportion to their stock holden therein.",23
"Alaska","1959-01-03","The first reapportionment of the house of representatives shall be made immediately following the official reporting of the 1960 decennial census, or after the first regular legislative session if the session occurs thereafter, notwithstanding the provision as to time contained in Section 3 of Article VI.",46
"Illinois","1870-08-08","The governor shall have power to grant reprieves, commutations and pardons, after conviction, for all offenses, subject to such regulations as may be provided by law relative to the manner of applying therefor.",33
"Texas","1876-02-15","The maximum tax rate submitted shall be sufficient to discharge obligations, liabilities, and responsibilities, and to maintain and operate the hospital system, and the Legislature may authorize the district to issue tax bonds for the purpose of the purchase, construction, acquisition, repair or renovation of improvements and initially equipping the same, and such bonds shall be payable from said Seventy five Cent (75¢) tax.",64
"Maryland","1867-08-17","Ratified 1915  AN ACT to propose an amendment to the Constitution of this State by adding a new Article thereto to follow immediately after Article XI and to be known as Article XI-A, and to provide for the submission of said amendment to the qualified voters of this State for adoption or rejection.",53
"South Carolina","1896-01-01","Before a member of the commission may submit an application with the commission for this nomination to a judicial office, and before the commission may accept or consider such an application, the member of the commission must not have been a member of the commission for a period to be established by law.",53
"Mississippi","1890-11-01","The adjutant-general and other staff officers to the com­mander-in-chief, shall be appointed by the governor, and their ap­pointment shall expire with the governor's term of office, and the legislature shall provide by law a salary for the adjutant-general commensurate with the duties of said office.",45
"South Dakota","1889-10-01","The several counties shall hold and manage the same as trust funds, and the shall be and remain responsible and accountable for the principal and interest of all such moneys received by them from the date of receipt until returned because not loaned; and in case of loss to any money so apportioned to any county, such county shall make the same good out of its common revenue.",68
"Michigan","1835-05-11","The governor shall have power to call forth the militia, to execute the laws of the State, to suppress insurrections, and repel invasions.",23
"Florida","1887-01-01","In all criminal cases prosecuted in the name of the State, where the defendant is insolvent or discharged, the State shall pay the legal costs and expenses, including the fees of officers, under such regulations as shall be prescribed by law.",41
"Hawaii","1959-08-21","All executive and administrative offices, departments and instrumentalities of the state government and their respective functions, powers and duties shall be allocated by law among and within not more than twenty principal departments in such manner as to group the same according to major purposes so far as practicable.",49
"Wyoming","1889-09-30","The rights of citizens of the State of Wyoming to vote and hold office shall not be denied or abridged on account of sex.",24
"South Carolina","1896-01-01","If at any time any school district shall fail to effect the punctual payment of the principal and interest of its general obligation debt, the State Treasurer shall withhold from such school district sufficient moneys from any state appropriation to which such school district may be entitled and apply so much as shall be necessary to the payment of the principal and interest on the indebtedness of the school district then due.",72
"Arizona","1912-02-14","Regents of university and other governing boards; appointments by governor; membership of governor on board of regents  Section 5.",19
"North Dakota","1981-01-01","Except for the student member, no person employed by any institution under the control of the board shall serve as a member of the board and no employee of any such institution may be eligible for membership on the state board of higher education for a period of two years following the termination of employment.",55
"North Dakota","1889-08-17","The following named public institutions are hereby permanently located as hereinafter provided, each to have so much of the remaining grant of one hundred and seventy thousand acres of land made by the United States for ""other educational and charitable institutions,"" as is allotted by law, namely: First.",48
"Alaska","1959-01-03","A voter shall have been, immediately preceding the election, a thirty day resident of the election district in which he seeks to vote, except that for purposes of voting for President and Vice President of the United States other residency requirements may be prescribed by law.",46
"Louisiana","1974-01-01","One representative of insurers licensed by the Department of Insurance to issue worker’s compensation insurance policies in Louisiana, who possesses executive level experience in the field of worker’s compensation insurance.",30
"Connecticut","1955-01-01","Every citizen may freely speak, write and publish his sentiments on all subjects, being responsible for the abuse of that liberty.",21
"Louisiana","1921-04-29","There shall be a district attorney for each judicial district in the State, who shall be elected by the qualified electors of the judicial district at the same time and for the same term as is provided herein for district judges.",41
"Pennsylvania","1969-01-01","The Senate shall act on each executive nomination within 25 legislative days of its submission.",15
"Alabama","1901-11-28","The proceeds of the additionaltaxes levied by this amendment shall be used exclusively for fire protection and safety services.",19
"Wyoming","1889-09-30","There shall be levied each year in each county of the state a tax of not to exceed six mills on the dollar of the assessed valuation of the property in each county for the support and maintenance of the public schools.",42
"New Mexico","1911-01-01","The initial board shall determine by lot from its membership three members to serve terms of two years and three members to serve terms of four years.",27
"New York","1938-08-25","Amendment 148 [1963]   3. (a) Except as expressly provided, nothing it this article shall restrict or impair any power of the legislature in relation to:  (1) The maintenance, support or administration of the public school system, as required or provided by article XI of this constitution, or any retirement system pertaining to such public school system,  (2) The courts as required or provided by article VI of this constitution, and  (3) Matters other than the property, affairs or government of a local government.  (b) The provisions of this article shall not affect any existing valid provisions of acts of the legislature or of local legislation and such provisions shall continue in force until repealed, amended, modified or superseded in accordance with the provisions of this constitution.  (c) Rights, powers, privileges and immunities granted to local governments by this article shall be liberally construed.  (d) Whenever used in this article the following terms, shall mean or include:  (1) ""General law.""",159
"Alabama","1901-11-28","Anyprovision of the Constitution or laws of the state of Alabama to the contrary notwithstanding,the governing body of the city of Anniston shall have full and continuing power andauthority, to do any one or more of the following:   Amendment 377 [1978]  AMENDMENT377 RATIFIED 1978 Consolidationand Abolition of Certain Offices and Establishment of Consolidated and Unified TaxSystem in Coffee County.",60
"Alabama","1901-11-28","The judge shall receive in equalmonthly installments from the General Fund of Pickens County such salary as provided by generallaw, unless provided otherwise by local law.",26
"Louisiana","1974-01-01","Except as otherwise provided in this Section, neither the state nor a political subdivision shall subscribe to or purchase the stock of a corporation or association or for any private enterprise.",31
"Alaska","1959-01-03","Legislators may not be held to answer before any other tribunal for any statement made in the exercise of their legislative duties while the legislature is in session.",28
"Texas","1876-02-15","MINIMUM SALARIES.– The Legislature shall not fix the salary of the Governor, Attorney General, Comptroller of Public Accounts, State Treasurer, Commissioner of the General Land Office or Secretary of State at a sum less than that fixed for such officials in the Constitution on January 1, 1953.",47
"Louisiana","1913-11-22","Third-The provisions of all laws, which are inconsistent with this Constitution, shall cease upon its adoption, except that all laws which are inconsistent with such provisions of this Constitution as require legislation to enforce them, shall remain in full force until such legislation is had.",45
